job_id,cluster
3884429973,2
3884430130,1
3884430256,1
3884430259,1
3884430272,1
3884430273,1
3884430395,1
3884430432,2
3884430505,2
3884430507,2
3884430508,2
3884430512,2
3884430513,1
3884430521,1
3884430524,2
3884430549,2
3884430577,2
3884430583,1
3884430585,3
3884430586,2
3884430590,2
3884430592,1
3884430597,1
3884430601,1
3884430605,1
3884430607,2
3884430608,2
3884430611,1
3884430614,1
3884430615,2
3884430616,3
3884430628,2
3884430632,3
3884430634,1
3884430638,2
3884430647,2
3884430648,2
3884430655,2
3884430657,1
3884430666,2
3884430673,2
3884430682,2
3884430684,3
3884430690,1
3884430691,1
3884430700,2
3884430701,2
3884430718,1
3884430719,2
3884430726,1
3884430732,3
3884430735,2
3884430741,2
3884430751,2
3884430752,1
3884430769,2
3884430774,2
3884430781,2
3884430789,2
3884430793,1
3884430800,2
3884430801,3
3884430807,2
3884430813,1
3884430816,3
3884430817,2
3884430827,1
3884430909,1
3884430913,1
3884430915,2
3884430949,6
3884430958,1
3884430966,3
3884431058,3
3884431121,1
3884431165,2
3884431253,1
3884431437,4
3884431480,2
3884431490,2
3884431493,2
3884431494,2
3884431495,1
3884431496,2
3884431497,1
3884431507,1
3884431523,0
3884431542,2
3884431550,2
3884431554,1
3884431558,2
3884431562,2
3884431563,2
3884431566,1
3884431567,2
3884431568,3
3884431572,0
3884431576,1
3884431577,3
3884431578,3
3884431580,1
3884431591,2
3884431593,2
3884431598,0
3884431599,3
3884431614,2
3884431621,2
3884431629,1
3884431632,1
3884431637,3
3884431641,2
3884431643,2
3884431645,1
3884431648,2
3884431654,1
3884431655,2
3884431679,3
3884431687,1
3884431694,2
3884431706,2
3884431709,1
3884431723,1
3884431726,4
3884431728,1
3884431732,2
3884431734,2
3884431744,0
3884431769,1
3884431771,1
3884431792,2
3884431794,2
3884431796,2
3884431797,0
3884431803,0
3884431807,0
3884431808,1
3884431809,0
3884431822,3
3884431830,1
3884431837,1
3884431853,2
3884431892,1
3884431956,1
3884431973,2
3884432117,2
3884432168,2
3884432217,1
3884432259,2
3884432301,2
3884432321,2
3884432402,2
3884432403,1
3884432406,2
3884432409,1
3884432411,2
3884432412,2
3884432420,1
3884432421,2
3884432422,0
3884432431,1
3884432436,2
3884432468,1
3884432469,0
3884432470,3
3884432471,2
3884432481,1
3884432486,1
3884432488,1
3884432491,2
3884432493,2
3884432497,2
3884432498,2
3884432517,2
3884432522,2
3884432524,2
3884432529,1
3884432530,1
3884432534,3
3884432535,1
3884432540,0
3884432541,3
3884432547,1
3884432548,3
3884432550,2
3884432572,3
3884432575,2
3884432576,2
3884432577,2
3884432578,2
3884432583,1
3884432597,1
3884432607,1
3884432608,1
3884432610,2
3884432618,2
3884432630,2
3884432634,1
3884432662,2
3884432668,2
3884432676,1
3884432678,2
3884432683,0
3884432698,3
3884432702,2
3884432723,2
3884432727,1
3884432773,2
3884432782,0
3884432784,2
3884432785,3
3884432811,3
3884432812,1
3884432826,3
3884433132,1
3884433143,2
3884433225,2
3884433236,2
3884433240,0
3884433241,1
3884433244,2
3884433253,1
3884433254,2
3884433257,2
3884433263,1
3884433264,2
3884433270,2
3884433280,0
3884433282,1
3884433285,1
3884433287,2
3884433290,1
3884433291,3
3884433292,0
3884433317,1
3884433322,2
3884433337,2
3884433350,2
3884433360,2
3884433363,1
3884433365,1
3884433366,1
3884433375,2
3884433381,2
3884433390,2
3884433392,0
3884433393,2
3884433400,3
3884433403,2
3884433408,0
3884433417,2
3884433426,0
3884433456,2
3884433459,3
3884433467,3
3884433471,2
3884433482,3
3884433496,1
3884433520,1
3884433559,1
3884433564,2
3884433565,1
3884433568,1
3884433628,2
3884433631,1
3884433638,1
3884433728,2
3884433741,2
3884433745,2
3884433770,2
3884433888,2
3884433891,2
3884433899,1
3884433908,2
3884433910,2
3884433916,1
3884433926,1
3884433946,2
3884433949,1
3884433953,2
3884433956,0
3884433957,1
3884433958,1
3884433990,2
3884433992,0
3884433996,2
3884434005,2
3884434011,1
3884434020,1
3884434034,1
3884434037,1
3884434046,2
3884434047,1
3884434062,2
3884434066,1
3884434076,1
3884434095,2
3884434097,1
3884434099,3
3884434100,1
3884434101,2
3884434103,1
3884434105,2
3884434107,2
3884434109,3
3884434112,2
3884434113,2
3884434114,1
3884434115,1
3884434116,2
3884434120,1
3884434128,1
3884434129,0
3884434134,0
3884434137,2
3884434138,2
3884434141,1
3884434146,1
3884434148,1
3884434160,1
3884434165,0
3884434169,3
3884434170,2
3884434196,2
3884434198,1
3884434201,2
3884434205,3
3884434209,2
3884434210,2
3884434211,2
3884434212,2
3884434225,2
3884434230,2
3884434250,0
3884434253,3
3884434262,3
3884434270,4
3884434279,2
3884434286,2
3884434287,2
3884434296,3
3884434302,3
3884434304,1
3884434305,1
3884434318,3
3884434319,2
3884434338,3
